"","Taxon","CAP1","MDS1"
"1","Prasinoderma_6ac",0.223662917788624,-0.171017906479433
"2","Stephanodiscus_0c0",-0.223662917788624,0.245866773241992
"3","Chaetoceros_dcd",0.208058528175465,0.0951942522104297
"4","Phaeocystis_4dc",-0.208058528175465,-0.147342751680332
"5","Rhizosolenia_006",-0.197655601766692,0.240943708775083
"6","Rhizosolenia_d78",0.182051212153532,-0.0816896915007949
"7","Chaetoceros_734",0.182051212153531,0.146074589004923
"8","Mytilus_4a8",0.176849748949145,0.150461155782879
"9","Hincksia_8a1",-0.176849748949145,-0.229349899705269
"10","Minutocellus_5ae",-0.161245359335985,-0.0735433953609305
